gamma,fit_time,tr_err,va_err,te_err,best_tr,best_te,name
0.0005,761.0882654190063,0.056680,0.054700,0.055700,False,False,rbf_5.0_0.0005_ovo
0.005,483.44528698921204,0.010480,0.021600,0.022800,False,False,rbf_5.0_0.005_ovo
0.025,822.4153301715851,0.000020,0.015100,0.015400,False,True,rbf_5.0_0.025_ovo
0.05,1772.9209814071655,0.000000,0.016700,0.017200,True,False,rbf_5.0_0.05_ovo
0.25,17935.153849363327,0.000000,0.367400,0.390400,False,True,rbf_5.0_0.25_ovo
0.5,20066.204649209976,0.000000,0.725900,0.732900,True,False,rbf_5.0_0.5_ovo
