gamma,fit_time,tr_err,va_err,te_err,best_tr,best_te,name
0.0005,496.046151638031,0.050040,0.050600,0.052500,False,False,rbf_10.0_0.0005_ovo
0.005,343.99328875541687,0.004440,0.019700,0.021000,False,False,rbf_10.0_0.005_ovo
0.025,637.1583683490753,0.000000,0.015000,0.015700,True,True,rbf_10.0_0.025_ovo
0.05,1461.6854720115662,0.000000,0.016700,0.017200,False,False,rbf_10.0_0.05_ovo
