gamma,fit_time,tr_err,va_err,best_va,name
0.0005,1037.786087,0.07402,0.0667,FALSE,rbf_1.0_0.0005_ovo
0.005,517.3815649,0.02946,0.0318,FALSE,rbf_1.0_0.005_ovo
0.025,634.24877,0.0036,0.0169,TRUE,rbf_1.0_0.025_ovo
0.05,1459.583694,0.00084,0.0179,FALSE,rbf_1.0_0.05_ovo
0.25,19814.44127,0,0.4,FALSE,rbf_1.0_0.25_ovo
0.5,18659.41321,0,0.7434,FALSE,rbf_1.0_0.5_ovo
