gamma,fit_time,tr_err,va_err,best_va,name
0.0005,2732.322781,0.11548,0.1022,FALSE,rbf_0.1_0.0005_ovo
0.005,1210.428042,0.0632,0.0561,FALSE,rbf_0.1_0.005_ovo
0.025,1147.956215,0.0317,0.031,TRUE,rbf_0.1_0.025_ovo
0.05,2075.34727,0.03188,0.0347,FALSE,rbf_0.1_0.05_ovo
0.25,18447.66641,0.54,0.55,FALSE,rbf_0.1_0.25_ovo
0.5,20165.04668,0.65,0.65,FALSE,rbf_0.1_0.5_ovo
