gamma,fit_time,tr_err,va_err,te_err,best_tr,best_te,name
0.0005,7172.145077,0.88644,0.8936,0.8865,FALSE,FALSE,rbf_0.001_0.0005_ovo
0.005,7196.377579,0.617,0.6073,0.608,FALSE,FALSE,rbf_0.001_0.005_ovo
0.025,7067.476407,0.60828,0.5886,0.6054,TRUE,TRUE,rbf_0.001_0.025_ovo
0.05,7076.293959,0.78714,0.7884,0.7896,FALSE,FALSE,rbf_0.001_0.05_ovo
0.25,6954.090077,0.88644,0.8936,0.8865,FALSE,FALSE,rbf_0.001_0.25_ovo
0.5,6947.537486,0.88644,0.8936,0.8865,FALSE,FALSE,rbf_0.001_0.5_ovo
