gamma,fit_time,tr_err,va_err,te_err,best_tr,best_te,name
0.0005,1037.7860872745514,0.07401999999999997,0.06669999999999998,0.06969999999999998,False,False,rbf_1.0_0.0005_ovo
0.005,517.3815648555756,0.02946000000000004,0.03180000000000005,0.034599999999999964,False,False,rbf_1.0_0.005_ovo
0.025,634.2487699985504,0.0036000000000000476,0.016900000000000026,0.018399999999999972,False,True,rbf_1.0_0.025_ovo
0.05,1459.5836942195892,0.0008399999999999519,0.017900000000000027,0.018399999999999972,False,False,rbf_1.0_0.05_ovo
0.25,19814.441269397736,0.0,0.4,0.4204,True,False,rbf_1.0_0.25_ovo
0.5,18659.41321206093,0.0,0.7434000000000001,0.7499,False,False,rbf_1.0_0.5_ovo
